Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.),Month_dt,Year
Jun-2025,675.0,18395.01,2403930.69,2025-06-01,2025
May-2025,673.0,18677.46,2514297.01,2025-05-01,2025
Apr-2025,668.0,17893.42,2394925.87,2025-04-01,2025
Mar-2025,661.0,18301.51,2477221.61,2025-03-01,2025
Feb-2025,653.0,16106.19,2196481.69,2025-02-01,2025
Jan-2025,647.0,16996.0,2348037.12,2025-01-01,2025
Dec-2024,641.0,16730.01,2324699.91,2024-12-01,2024
Nov-2024,637.0,15482.02,2155187.4,2024-11-01,2024
Oct-2024,632.0,16584.97,2349821.46,2024-10-01,2024
Sep-2024,622.0,15041.75,2063994.71,2024-09-01,2024
Aug-2024,608.0,14963.05,2060735.57,2024-08-01,2024
Jul-2024,605.0,14435.55,2064292.41,2024-07-01,2024
Jun-2024,602.0,13885.14,2007081.2,2024-06-01,2024
May-2024,598.0,14035.84,2044937.05,2024-05-01,2024
Apr-2024,583.0,13303.99,1964464.52,2024-04-01,2024
Mar-2024,572.0,13440.0,1978353.23,2024-03-01,2024
Feb-2024,560.0,12102.67,1827869.35,2024-02-01,2024
Jan-2024,550.0,12203.02,1841083.97,2024-01-01,2024
Dec-2023,522.0,12020.23,1822949.42,2023-12-01,2023
Nov-2023,516.0,11235.29,1739740.61,2023-11-01,2023
Oct-2023,505.0,11408.79,1715768.34,2023-10-01,2023
Sep-2023,492.0,10555.69,1579133.18,2023-09-01,2023
Aug-2023,484.0,10586.02,1576536.56,2023-08-01,2023
Jul-2023,473.0,9964.61,1533536.44,2023-07-01,2023
Jun-2023,458.0,9335.06,1475464.26,2023-06-01,2023
May-2023,445.0,9415.19,1489145.44,2023-05-01,2023
Apr-2023,414.0,8863.26,1415504.71,2023-04-01,2023
Mar-2023,399.0,8685.3,1410443.01,2023-03-01,2023
Feb-2023,390.0,7534.76,1235846.62,2023-02-01,2023
Jan-2023,385.0,8036.89,1298726.62,2023-01-01,2023
Dec-2022,382.0,7829.49,1282055.01,2022-12-01,2022
Nov-2022,376.0,7309.45,1190593.39,2022-11-01,2022
Oct-2022,365.0,7305.42,1211582.51,2022-10-01,2022
Sep-2022,358.0,6780.8,1116438.1,2022-09-01,2022
Aug-2022,346.0,6579.63,1072792.68,2022-08-01,2022
Jul-2022,338.0,6288.4,1062991.76,2022-07-01,2022
Jun-2022,330.0,5862.75,1014384.31,2022-06-01,2022
May-2022,323.0,5955.2,1041520.07,2022-05-01,2022
Apr-2022,316.0,5583.05,983302.27,2022-04-01,2022
Mar-2022,314.0,5405.65,960581.66,2022-03-01,2022
Feb-2022,304.0,4527.49,826843.0,2022-02-01,2022
Jan-2022,297.0,4617.15,831993.11,2022-01-01,2022
Dec-2021,282.0,4566.3,826848.22,2021-12-01,2021
Nov-2021,274.0,4186.48,768436.11,2021-11-01,2021
Oct-2021,261.0,4218.65,771444.98,2021-10-01,2021
Sep-2021,259.0,3654.3,654351.81,2021-09-01,2021
Aug-2021,249.0,3555.55,639116.95,2021-08-01,2021
Jul-2021,235.0,3247.82,606281.14,2021-07-01,2021
Jun-2021,229.0,2807.51,547373.17,2021-06-01,2021
May-2021,224.0,2539.57,490638.65,2021-05-01,2021
Apr-2021,220.0,2641.06,493663.68,2021-04-01,2021
Mar-2021,216.0,2731.68,504886.44,2021-03-01,2021
Feb-2021,213.0,2292.9,425062.76,2021-02-01,2021
Jan-2021,207.0,2302.73,431181.89,2021-01-01,2021
Dec-2020,207.0,2234.16,416176.21,2020-12-01,2020
Nov-2020,200.0,2210.23,390999.15,2020-11-01,2020
Oct-2020,189.0,2071.62,386106.74,2020-10-01,2020
Sep-2020,174.0,1800.14,329027.66,2020-09-01,2020
Aug-2020,168.0,1618.83,298307.61,2020-08-01,2020
Jul-2020,164.0,1497.36,290537.86,2020-07-01,2020
Jun-2020,155.0,1336.93,261835.0,2020-06-01,2020
May-2020,155.0,1234.5,218391.6,2020-05-01,2020
Apr-2020,153.0,999.57,151140.66,2020-04-01,2020
Mar-2020,148.0,1246.84,206462.31,2020-03-01,2020
Feb-2020,146.0,1325.69,222516.95,2020-02-01,2020
Jan-2020,144.0,1305.02,216242.97,2020-01-01,2020
Dec-2019,143.0,1308.4,202520.76,2019-12-01,2019
Nov-2019,143.0,1218.77,189229.09,2019-11-01,2019
Oct-2019,141.0,1148.36,191359.94,2019-10-01,2019
Sep-2019,141.0,955.02,161456.56,2019-09-01,2019
Aug-2019,141.0,918.35,154504.89,2019-08-01,2019
Jul-2019,143.0,822.29,146386.64,2019-07-01,2019
Jun-2019,142.0,754.54,146566.35,2019-06-01,2019
May-2019,143.0,733.54,152449.29,2019-05-01,2019
Apr-2019,144.0,781.79,142034.39,2019-04-01,2019
Mar-2019,142.0,799.54,133460.72,2019-03-01,2019
Feb-2019,139.0,674.19,106737.12,2019-02-01,2019
Jan-2019,134.0,672.75,109932.43,2019-01-01,2019
Dec-2018,129.0,620.17,102594.82,2018-12-01,2018
Nov-2018,128.0,524.94,82232.21,2018-11-01,2018
Oct-2018,128.0,482.36,74978.27,2018-10-01,2018
Sep-2018,122.0,405.87,59835.36,2018-09-01,2018
Aug-2018,114.0,312.02,54212.26,2018-08-01,2018
Jul-2018,114.0,273.75,51843.14,2018-07-01,2018
Jun-2018,110.0,246.37,40834.03,2018-06-01,2018
May-2018,101.0,189.48,33288.51,2018-05-01,2018
Apr-2018,97.0,190.08,27021.85,2018-04-01,2018
Mar-2018,91.0,178.05,24172.6,2018-03-01,2018
Feb-2018,86.0,171.4,19126.2,2018-02-01,2018
Jan-2018,71.0,151.83,15571.2,2018-01-01,2018
Dec-2017,67.0,145.64,13174.24,2017-12-01,2017
Nov-2017,61.0,105.02,9669.33,2017-11-01,2017
Oct-2017,60.0,76.96,7057.78,2017-10-01,2017
Sep-2017,57.0,30.98,5325.81,2017-09-01,2017
Aug-2017,55.0,16.8,4156.62,2017-08-01,2017
Jul-2017,53.0,11.63,3411.35,2017-07-01,2017
Jun-2017,52.0,10.35,3098.36,2017-06-01,2017
May-2017,49.0,9.36,2797.07,2017-05-01,2017
Apr-2017,48.0,7.2,2271.24,2017-04-01,2017
Mar-2017,44.0,6.37,2425.14,2017-03-01,2017
Feb-2017,44.0,4.38,1937.71,2017-02-01,2017
Jan-2017,36.0,4.46,1696.22,2017-01-01,2017
Dec-2016,35.0,1.99,707.93,2016-12-01,2016
Nov-2016,30.0,0.29,100.46,2016-11-01,2016
Oct-2016,26.0,0.1,48.57,2016-10-01,2016
Sep-2016,25.0,0.09,32.64,2016-09-01,2016
Aug-2016,21.0,0.09,3.09,2016-08-01,2016
Jul-2016,21.0,0.09,0.38,2016-07-01,2016
Jun-2016,21.0,0.0,0.0,2016-06-01,2016
May-2016,21.0,0.0,0.0,2016-05-01,2016
Apr-2016,21.0,0.0,0.0,2016-04-01,2016
